ID,left_file,right_file,left_category,right_category,left_flicker_Hz,right_flicker_Hz,left_swift_Hz,right_swift_Hz
66,face_09_swift_1200mHz,house_09_swift_1000mHz,face,house,12,15,1.2,1
67,face_09_swift_1000mHz,house_09_swift_1200mHz,face,house,15,12,1,1.2
68,face_09_swift_1200mHz,house_09_swift_1000mHz,face,house,15,12,1.2,1
69,house_09_swift_1200mHz,face_09_swift_1000mHz,house,face,12,15,1.2,1
70,house_09_swift_1000mHz,face_09_swift_1200mHz,house,face,12,15,1,1.2
71,house_09_swift_1200mHz,face_09_swift_1000mHz,house,face,15,12,1.2,1
72,house_09_swift_1000mHz,face_09_swift_1200mHz,house,face,15,12,1,1.2
73,face_10_swift_1000mHz,house_10_swift_1200mHz,face,house,12,15,1,1.2
74,face_10_swift_1200mHz,house_10_swift_1000mHz,face,house,12,15,1.2,1
75,face_10_swift_1000mHz,house_10_swift_1200mHz,face,house,15,12,1,1.2
76,face_10_swift_1200mHz,house_10_swift_1000mHz,face,house,15,12,1.2,1
77,house_10_swift_1200mHz,face_10_swift_1000mHz,house,face,12,15,1.2,1
78,house_10_swift_1000mHz,face_10_swift_1200mHz,house,face,12,15,1,1.2
79,house_10_swift_1200mHz,face_10_swift_1000mHz,house,face,15,12,1.2,1
80,house_10_swift_1000mHz,face_10_swift_1200mHz,house,face,15,12,1,1.2
